Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Deploying and Running Apache Kafka on Kubernetes,"Apache Kafka has become the de-facto event-streaming platform, and its popularity is growing every year. Did you know that you can even deploy Kafka on a Kubernetes cluster? Whether you’re deploying Kafka yourself or using a tool or a managed service, there are a few key points to keep in mind. In this course, instructor Kate Stanley talks you through how to deploy Kafka on Kubernetes effectively.<br><br>Explore the platform's internals and concepts and learn more about the Kubernetes features that fit best with Kafka. Kate covers the Kafka configuration options that are essential to a successful, healthy deployment. She teaches you how to configure Kafka to make it accessible from outside the Kubernetes cluster. Examples are drawn from existing open-source projects, taking you step by step through the deployment process and giving you tips to make it easier along the way.",Course,2024-10-04 10:10 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5907566,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5907566,Course,2024-05-12 08:51 UTC,N/A,false,N/A,
Scrollytelling: Creating a One-Page Web Experience,"What is scrollytelling? What can you do with it, and what are some alternatives? In this course, instructor Bill Shander answers these questions and more. Bill begins with a definition and example of scrollytelling, then gives you examples of its benefits for user engagement and narrative experience. He presents some alternative ways to tell stories on your website and offers some pros and cons for each. Bill goes over the technical components of what makes a scrollytelling experience and goes over some options for technologies you can use to create such experiences. He walks you through the complete process of turning your idea into a scrollytelling masterpiece using one particular approach, then concludes with useful advice on cleaning it up to deliver the best possible experience to your users.",Course,2024-06-21 23:05 UTC,N/A,false,N/A,
Learning Amazon Web Services (AWS) for Developers,"Amazon Web Services (AWS) is the leading cloud service provider today, ahead of competitors such as Microsoft Azure and Google Cloud Platform. It is seen by many as the standard for functional, reliable, interoperable, and affordable cloud services. Developers need to understand what it means to develop on and migrate to the cloud—and comprehend the overall landscape of AWS before diving into the platform. This course provides a high-level overview just for developers, focusing on the AWS features and services of the most interest to them. Instructor Bear Cahill introduces AWS Lambda, DynamoDB, ElastiCache, Elastic Beanstalk, S3, SQS, SNS, and many more key features and services.",Course,2023-09-11 22:39 UTC,N/A,false,N/A,
Learning Kubernetes,"<p><b>Prerequisites</b></p>
<ul>
<li>Access to a text editor like Visual Studio Code</li> 
<li>Use of a terminal app to run simple Unix commands</li> 
<li>High-level understanding of container technology</li>
</ul>
<p>Get the foundational knowledge you need to embark on your first voyage with Kubernetes, the world's most popular open-source container orchestration engine. Instructor Kim Schlesinger demonstrates how to create a Kubernetes cluster with Minikube, deploy a containerized application, and manage that application using Kubernetes. Along the way, she guides you through exercises that provide you with hands-on experience.</p>",Course,2024-04-06 00:51 UTC,N/A,true,N/A,
Running Kubernetes on AWS (EKS),"<p><b>Suggested prerequisites</b></p>
<ul>
<li>Access to a terminal application for running simple Unix commands in Windows, Linux, or macOS</li>
<li>Access to a text editor like VS Code</li>
<li>An active AWS account</li>
<li>Working knowledge of Kubernetes</li>
</ul>

<p><b>Projects</b></p>
<ul>
<li>Create a basic business service application that responds to HTTP requests with a random quote.</li> 
<p>Being able to operate Kubernetes clusters on AWS is an increasingly in-demand skill, and it often bodes well for career advancement. But both systems are complex and present unique challenges, and it can be difficult to know where to begin. In this course, technical curriculum developer Kim Schlesinger helps you get started with hands-on, practical experience running Kubernetes clusters on AWS Elastic Kubernetes Service (EKS).</p>",Course,2024-06-24 14:44 UTC,N/A,false,N/A,
Excel: Creating a Basic Dashboard,"In this course, instructor Curt Frye shows you how to summarize spreadsheet data effectively to support decision-making throughout your organization. Curt explains how to set up a supporting workbook, including how to manage and filter data, streamline charts for dashboards, and create sparklines. He also goes over the process of creating a dashboard worksheet. Curt covers creating and managing cell links, using PivotTable data in a formula, extending your dashboard with hidden rows, and more.",Course,2024-03-13 19:16 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (202-450): 6 System Security,"The LPIC-2 Linux Engineer (202-450) course is designed for IT Professionals who are seeking the LPIC-2 certification. This series of courses from ITProTV covers the skills required of any intermediate to advanced systems administrator who is tasked with supporting Linux in a production environment. This course, sixth in the series, focuses on system security. Learn how to build a router and configure port forwarding, with iptables, and review how to use iptables as a firewall. Explore building a FTP server with vsftpd and Pure-FTPd. Find out how to restrict access to SSH and enable certificate authentication in SSH. Go over how to use Fail2ban to block brute force attacks and scan for open ports with Nmap. Plus, dive into building a VPN server with OpenVPN and configuring an OpenVPN client.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-04-13 01:03 UTC,N/A,false,N/A,
Running Kubernetes on AWS (EKS) (2021),"Kubernetes fans rejoice. You can now use this popular container orchestration tool with Amazon Web Services (AWS) to deploy enterprise-scale Kubernetes clusters—without the headaches of managing multiple masters. This course teaches you the ins and outs of Amazon Elastic Container Service for Kubernetes (Amazon EKS), including understanding the deployment model and creating the needed Identity and Access Management (IAM) roles and policies. Instructor Robert Stormer also shows how to deploy and scale EKS workers to meet your needs, and integrate storage and networking. Plus, find out how to manage user access with Amazon IAM and Kubernetes RBAC, and monitor your deployments and underlying resources. Along the way, Robert introduces useful Kubernetes extensions and add-ons that can be used in the AWS environment.",Course,N/A,N/A,true,N/A,
"Red Hat Certified System Administrator (EX200) Cert Prep: 1 Deploy, Configure, and Manage","Get prepared to pursue the sought-after Red Hat Certified System Administrator (RHCSA) certification. This course walks you through the skills addressed in the first half of the RHCSA exam. Instructor Grant McWilliams introduces what you should know about the Red Hat EX200 certification, then explains how to deploy systems, with steps like creating a bootable Enterprise Linux 9 live USB drive on Windows and using kickstart files to automate installs. Next, he explains system config and services, including the Linux boot process, Systemd services, and one-time and recurring user jobs. Grant then goes through essential tools, such as input-output redirection, compressing files and archives, and copying files and directories. Plus, he shows you how to manage the system software and create simple shell scripts.",Course,2025-04-25 10:27 UTC,N/A,false,N/A,
Coaching Employees through Difficult Situations,"<p>Have you ever had to provide coaching to an individual who can't take criticism, or inherited an employee who seems to continually make the same mistakes on the job? Part of growing as a leader is learning how to successfully tackle these and other challenging situations. In this course, leadership consultants Lisa Earle McLeod and Elizabeth McLeod help new and experienced managers address some of the most frequent coaching challenges. Using scenarios, Lisa and Elizabeth demonstrate how to motivate employees who have been demoted or promoted, as well as how to effectively coach employees who have big egos or simply don't want to be coached. In addition, they share strategies for using supplemental resources to further your coaching efforts.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-08-04 21:21 UTC,N/A,false,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2025-03-19 06:49 UTC,N/A,false,N/A,
Jenkins Essential Training,"<p>If you want to build, deploy, and implement continuous delivery as code, you’ve likely heard about Jenkins, the popular DevOps suite known for its open-source extensibility and ease of use. Jenkins also lets you automate your entire enterprise as a software delivery pipeline. In this course, instructor Michael Jenkins shows you the fundamentals of navigating the platform so you can start automating builds and testing and securing deployments.</p><p>Learn about the core functions of Jenkins, progressing from intermediate to more advanced use cases and highlighting best practices and customization tips. Find out how to create a pipeline, integrate Jenkins with version control systems, distribute agents like Docker containers, run and publish tests, produce artifacts for review, and secure your DevOps loop by configuring users and permissions. Try out your new skills along the way in the challenges at the end of each section.</p>",Course,2024-06-17 09:05 UTC,N/A,false,N/A,
Build a JavaScript AI App with React and the OpenAI API,"In this course, learn how to integrate the OpenAI API into a JavaScript-based web app. Join instructor Morten Rand-Hendriksen as he takes a React-based weather app, adds  a heavy dose of AI, and creates an interactive experience that knows what location you want weather information from, explains the weather data in simple language, and even suggests what to wear. Through this project-based course, Morten teaches you about API integration, user-based authentication, storing user tokens in a ServiceWorker, task-based API configuration, and sending and receiving requests to the API.",Course,2024-03-11 08:22 UTC,N/A,false,N/A,
Building Infrastructure-as-Code (IaC) with Azure Bicep: Part 2,"This course is designed for cloud engineers, architects, and developers seeking to modernize their infrastructure management with Azure Bicep and builds on top of the lessons taught in <a href=""https://www.linkedin.com/learning/building-infrastructure-as-code-iac-with-azure-bicep-part-1/learning-azure-bicep?u=104""><i>Building Infrastructure-as-Code (IaC) with Azure Bicep: Part 1</i></a>. Join instructor and Microsoft MVP Elkhan Yusubov as he covers—through a series of demos—how to work with Azure tenant resources, automate infrastructure code deployment processes, and create reusable infrastructure code. Learn about best practices for code management via template specs, management of multiple environments with environment-driven deployments, securing your infrastructure code deployment process, and securing your Azure deployment environments.",Course,2025-05-07 09:06 UTC,N/A,false,N/A,
CompTIA Cloud+ (CV0-003) Cert Prep,"<p>Are you looking to take your skills to the next level with an industry-leading professional certification? The CompTIA Cloud+ certification vets your abilities as an IT professional to understand cloud architecture and design, deploy cloud services and solutions, troubleshoot common cloud management issues, and successfully maintain, secure, and optimize a cloud environment.</p><p>In this course, learn what it takes to meet the industry standard for launching successful IT careers in today’s ever-evolving digital world. With expert instruction from ITProTV, by the end of this course, you’ll be prepared to tackle the official CompTIA Cloud+ (CV0-003) certification exam.</p><p>Note: This course was created by ITProTV. We are pleased to host this content in our library.</p>",Course,2024-06-17 09:00 UTC,N/A,false,N/A,
Cert Prep: LEED Green Associate,"Are you both passionate and  knowledgeable about the latest green building principles and practices? If so, earning the LEED Green Associate credential can help you advance your career by demonstrating your expertise in sustainable design, construction, and building operations. In this course, instructor Fulya Kocak Gin gives you an overview of what to expect on the LEED Green Associate exam and provides background on the key topics and concepts you need to know. Fulya covers alternative transportation options, sustainable site strategies, ways to reduce energy and water use, renewable energy solutions, enhanced indoor air strategies, and much more. Plus, she includes a practice exam so you can solidify your understanding of the concepts covered in this course.",Course,2024-09-10 21:23 UTC,N/A,false,N/A,
Python Practice: Operations,"If you’re looking to practice basic operations in Python, this course was designed just for you. Join LinkedIn Learning staff instructor Scott Simpson as he leads you through a series of automated coding challenges hosted by CoderPad, the skills-first, technical assessment platform that lets you write live code in a realistic coding environment. Each challenge in the course includes a set of instructions and a couple of code editors you can use to create and test your own solution. Scott shows you get started testing your skills as a Python programmer with seven operations-focused challenges. Learn how to determine if two strings are equal, replace a string, reverse a string, format a string, insert a string, determine whether a string contains certain letters, and check to validate if multiple strings are anagrams.",Course,2025-03-12 21:08 UTC,N/A,true,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2025-01-09 11:00 UTC,N/A,false,N/A,
Java Practice: Collections,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. Many of the apps you know and love were likely written in Java! In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your knowledge of Java collections and improve your programming problem-solving skills.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-06-17 09:13 UTC,N/A,false,N/A,
How Organizations End Imposter Syndrome,"If you struggle with self-doubt in your professional life, you’re far from alone. Imposter syndrome—the experience of not having an internal sense of your own success, despite the reality of your achievements—affects many, particularly those from underrepresented groups. But is a simple lack of confidence at the root of all this uncertainty, or are structural problems to blame? In this course, Jodi-Ann Burey explores the role that workplace cultures play in perpetuating imposter syndrome, as well as how to implement sustainable solutions that allow <i>all</i> employees to thrive.<br><br>Jodi-Ann details how and why imposter syndrome serves as a proxy for other common experiences, such as on-the-job learning or biased workplace practices. She also explains how leaders can affect lasting change by addressing the structural triggers that amplify imposter syndrome.",Course,2024-03-20 08:11 UTC,N/A,false,N/A,
AI Pair Programming with GitHub Copilot (2022),"The future of programming is all about collaboration—humans working with machines to achieve exciting and unimagined results. AI pair programming, which integrates human- and machine-generated code, is a prime example of a tool that alleviates tedious, menial tasks to let developers focus their attention on higher-level concerns. In this course, instructor Ronnie Sheer shows you how to get the most out of GitHub Copilot, one of the most useful and impactful new tools for streamlining software development with AI.<br><br>Get a comprehensive introduction on how to use Copilot to integrate your coding with the latest AI technology. Ronnie goes over the major features of the application, focusing specifically on Python and JavaScript, and using back-end and front-end Copilot tools. By the end of this course, you’ll be prepared to create data models, implement REST APIs, and write tests, client-side code and templates, HTML, CSS, and more.",Course,2024-02-27 09:21 UTC,N/A,false,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2024-02-06 08:42 UTC,N/A,true,N/A,
Learning Git and GitHub,"<div><a href=""https://www.linkedin.com/newsletters/6674822532509655040?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Ray's LinkedIn Newsletter</a></div><br>Version Control lets you manage changes you've made to files over time, and is an essential skill for developers to master. Git is by far the most popular version control system on the web. In this fast-paced course, Ray Villalobos shows you the fundamental commands that you need to work with most Git projects. He explains how to use checkpoints called commits, which let you leave messages documenting what happened at each checkpoint, as well as how to create branches that are alternate versions of your project that you can work on without changing the original. Ray also shows how to work with the popular GitHub website, going in depth with repositories and projects. Learn about pull requests, how to conduct a code review, and how to clone existing projects onto your local hard drive and use them as templates. Plus, learn about the social aspects of GitHub so you can get comments, opinions, and advice to help you refine your projects.",Course,2024-02-28 09:44 UTC,N/A,false,N/A,
Java: Practice Unit Testing,"<p>The beauty of test-driven development is that it allows you to iterate your codebase one step at a time, testing and reworking individual cases as you go. Not only does this reduce the likelihood of bugs and errors, it also helps you write more effective and more reliable code.</p>
<p>In this course, instructor Bethan Palmer covers the essentials of unit testing in Java to showcase the benefits of test-driven development. Explore practical topics including common assertions, comparing arrays, and testing exceptions as well as some of the more advanced features of JUnit, the Java unit testing framework that lets you run parameterized tests. Along the way, take advantage of the opportunity to practice writing your own unit tests with hands-on, interactive coding exercises.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p>",Course,2024-06-20 03:45 UTC,N/A,false,N/A,
Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure,"<p>In this course, skilled data scientist and AI engineer Eva Pardi guides you through common features of NLP workloads on Azure, including an overview of the Azure tools and services available, common workload scenarios, and conversational AI solutions using bots and the Azure Bot service. Learn what you need to get started with Natural Language Processing. Go over what responsible AI means, including ethical AI, interpretability techniques, and a text analytical model. Explore cognitive services for speech and translation. Find out about Language Understanding (LUIS) models. Plus, learn about how and where conversational AI can be used. This course maps to the of the ""Describe features of Natural Language Processing (NLP) workloads on Azure"" domain AI-900 Skills Measured doc.</p>",Course,2024-09-27 21:09 UTC,N/A,false,N/A,
Deploying and Managing Defender for Endpoint for Windows,"Did you know that Microsoft Defender for Endpoint (MDE) can help you secure endpoints using global threat intelligence and multiplatform detection and response? In this course, instructor Ru Campbell provides an overview of best practices and architectural insights for MDE, from onboarding devices and deploying and managing security capabilities, to responding to threats and incidents, and much more. Discover how this vast suite comes together to protect your organization more effectively with ease, as you develop the skills required to configure and manage Windows Defender Antivirus, enable and use attack surface reduction, and leverage the power of SmartScreen, Windows Firewall, device control, and conditional access.",Course,2024-08-15 04:49 UTC,N/A,false,N/A,
Python Essential Training,"<p>Python is one of the most commonly used dynamic languages for many large organizations, including Google, Yahoo, and IBM. Supported on all major operating systems, it comes pre-installed on Macs, as well as most Linux and Unix-based systems. In this course, senior software engineer Ryan Mitchell guides you through all the essentials of learning and using Python. Learn how computers think, as well as how to install Python, pip, and Jupyter Notebook and the basics of writing a program. Explore variables and types, operators, functions, classes, objects, and more. Go over basic data types like ints and floats, Booleans, and strings. Deep dive into basic data structures, control flow, functions, classes, and objects. Find out how to handle errors and exceptions, as well as threads and processes. Plus, discover how to work with different types of files in Python, pass command-line arguments to your Python script, and create modules and packages. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/openedg-python-institute-programming-with-python-professional-certificate"" target=""_blank"">Professional Certificate</a> from Python Institute.</p>",Course,2024-01-30 09:45 UTC,N/A,true,N/A,
LPIC-2 Linux Engineer (202-450): 2 Web Services,"The LPIC-2 Linux Engineer (202-450) course is designed for IT Professionals who are seeking the LPIC-2 certification. This series of courses from ITProTV covers the skills required of any intermediate to advanced systems administrator who is tasked with supporting Linux in a production environment. This course, second in the series, focuses on web services. Learn how to install the Apache web server and configure virtual servers in Apache. Find out how to redirect URLs and enable SSL encryption in Apache. Go over what you need to know about installing the Squid proxy server, restricting server access with Squid, and enabling user authentication in Squid. Plus, explore how to implement Nginx as a web server or as a reverse proxy.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2024-01-27 10:30 UTC,N/A,false,N/A,
Writing and Refactoring Testable PHP,"<p>It’s difficult to innovate in a messy, disorganized PHP codebase. Enter test-driven development (TDD)—a more professional development approach that helps prevent regressions, increase developer confidence in a codebase, and keep the codebase clean to accommodate business logic pivots. In this course, learn how PHP developers can leverage TDD in new projects and refactor code in existing projects.</p>

<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2024-02-27 19:55 UTC,N/A,false,N/A,
DevOps Foundations (2016),"DevOps is not a framework or a workflow. It's a culture that is overtaking the business world. DevOps ensures collaboration and communication between software engineers (Dev) and IT operations (Ops). With DevOps, changes make it to production faster. Resources are easier to share. And large-scale systems are easier to manage and maintain.<br><br>

In this course, well-known DevOps practitioners Ernest Mueller and James Wickett provide an overview of the DevOps movement, focusing on the core value of CAMS (culture, automation, measurement, and sharing). They cover the various methodologies and tools an organization can adopt to transition into DevOps, looking at both agile and lean project management principles and how old-school principles like ITIL, ITSM, and SDLC fit within DevOps.<br><br> 

The course concludes with a discussion of the three main tenets of DevOps—infrastructure automation, continuous delivery, and reliability engineering—as well as some additional resources and a brief look into what the future holds as organizations transition from the cloud to serverless architectures.",Course,N/A,N/A,true,N/A,
Implementing a Data Warehouse with SQL Server 2022,"Data warehouses solve fundamentally different problems than a traditional transactional database, and SQL Server Data Warehouses provide a different model for storing valuable data. In this course, database expert Adam Wilbert guides you through the process of developing data warehouses in SQL Server 2022 to provide a robust, trustworthy platform to serve all your business intelligence reporting and analysis workloads. Explore data warehouse foundations, then get started creating a data warehouse in SQL Server. Learn about columnstore indexes, as well as how to automate the tasks associated with integrating multiple data sources together into a warehouse. Find out how to implement an Azure Synapse Analytics Dedicated SQL Pool and enforce data quality using Data Quality Services. Discover ways to use Master Data Services, plus learn how to consume data from your warehouse with business intelligence applications.",Course,2023-05-10 08:31 UTC,N/A,false,N/A,
Climate Adaptation and the Cost of Inaction,"<p>How well will the world adapt to increasingly frequent extreme climate events? The answer depends on your leadership approach. To date, most government and business leaders have been focusing exclusively on climate mitigation, often at the expense of climate adaptation.</p><p>In this course, join Charmian Caines, a managing director and senior partner at BCG, as she makes a case for why governments and businesses can—and must—focus closely on doing both. Charmian shows you how to build scenarios assessing the economic, social, and natural damage of rising temperatures and develop financial and operational plans to combat rising sea levels, raging fires, and other extreme weather events.</p><p>Note: This course was created by Boston Consulting Group. We are pleased to host this content in our library.</p>",Course,2025-03-27 21:46 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2023-04-16 01:00 UTC,N/A,false,N/A,
Getting Started with AWS Cloud Map,"AWS Cloud Map is a cloud resource discovery service that helps applications discover the most up-to-date location of resources. In this introductory course, instructor Roderick Rischer presents an overview of the discovery process and outlines the features and benefits of Cloud Map. He then demonstrates Cloud Map in action, leading learners through creation of resources and services. The course concludes with discussion of Cloud Map use cases.",Course,2024-04-21 03:24 UTC,N/A,false,N/A,
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2024-01-30 09:44 UTC,N/A,false,N/A,
Learning Adobe Audition,"Adobe Audition is a powerful tool for recording, editing, enhancing, and mixing audio of all kinds. It's also a deep program that can seem intimidating at first, but don’t let that stop you from exploring. In this course, author of the official <i>Adobe Audition Classroom in a Book</i> Maxim Jago breaks it down for you, outlining the key features and processes involved in creating great-sounding audio with Audition. An ideal fit for podcasters, audio producers, and video producers working with audio, this course equips you with the skills you need to produce and share exceptional audio content on your next project.",Course,2025-01-28 09:27 UTC,N/A,false,N/A,
Learning Asana (2022),"As a lightweight project management and team productivity tool, Asana can help you manage projects more efficiently and collaborate more effectively with your team. In this short course, David Rivers shows you how. David begins with a quick tour of the Asana interface, highlighting the program's most helpful features. Next, he explains how to organize teams, as well as create and delete projects. David covers how to build a project task list, add individual tasks, assign people and due dates to tasks, and more. Plus, he goes into the tools and techniques that help you monitor your projects and stay on top of collaboration.",Course,2024-02-04 10:19 UTC,N/A,false,N/A,
Learning Puppet,"Puppet can be a powerful and accessible tool in your server automation toolkit. In this course, experienced systems administrator and DevOps engineer Josh Samuelson offers hands-on experience to give you a confident start toward achieving your server automation goals. Learn about using Puppet as a server automation tool. Go over some first steps to take, like installation and using the Puppet command line. Explore ways you can use Puppet code and modules. Dive into serverless Puppet, and learn how to create a custom resource type and set up a Puppet server. Each topic comes with hands-on challenges and possible solutions, to help you practice and retain what you learn.",Course,2024-02-28 10:19 UTC,N/A,false,N/A,
Learning Ansible (2020),"<p>Ansible is a popular open-source tool that provides automation, configuration management, and orchestration all in one. In this course, Anthony Sequeira introduces Ansible and explains the many reasons system administrators and DevOps engineers choose Ansible as part of their IT toolkit. Learn how to install Ansible in different environments and work with hosts, variables, code, and playbooks. Practice your new deployment and playbook writing skills with the chapter challenges. Anthony then reviews six different use cases for Ansible, from remote management to orchestration and fleet automation. These practical examples help you see how Ansible can solve a variety of real-world challenges—while saving a ton of valuable time. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/network-automation-professional-certificate-by-arista-networks"" target=""_blank"">Professional Certificate</a> from Arista Networks.</p>",Course,2024-06-16 04:59 UTC,2024-06-16 04:55 UTC,true,N/A,
Ethical Hacking: Vulnerability Analysis,"<p>In order to assess—and ultimately, decrease—an organization's risk, IT security professionals must first evaluate and reduce existing vulnerabilities. If you're working to strengthen network security at your organization, it's essential to have a solid grasp of the processes, methodologies, and tools needed to assess vulnerabilities. In this course, security expert Lisa Bock takes a deep dive into the topic of vulnerability scanning, covering what you need to know to find and address weaknesses that attackers might exploit. Lisa goes over the basics of managing organizational risk, discusses vulnerability analysis methodologies, and shows how to work with vulnerability assessment tools, including Nikto and OpenVAS. Plus, she shares tools and strategies for defending the LAN. Lisa also includes challenge chapters to test your knowledge of each section, along with solutions videos for each challenge.</p><p>Note: The <i>Ethical Hacking</i> series maps to the 20 parts of the <a href=""https://iclass.eccouncil.org/our-courses/certified-ethical-hacker-ceh/#1493240598534-2f9b47f1-3b7e"" target=""_blank"">EC-Council Certified Ethical Hacker (CEH) exam (312-50) version 11</a>.</p>",Course,2024-05-07 06:03 UTC,N/A,false,N/A,
Introduction to Terraform on Google Cloud Platform,"Terraform is an infrastructure management tool that lets you manage and maintain your servers, networking, storage, and more in one centralized set of code. In this course, learn how to use Terraform to manage resources on Google Cloud and take advantage of the benefits of infrastructure as code. Instructor Josh Samuelson guides you through setting up a Terraform code repo using GitHub, shows you how to use Google Cloud with Terraform, and takes you through setting up a workspace in Terraform Cloud using your GitHub repo and Google Cloud credentials. Learn how to explore state files, make changes to your Terraform code, use reusable modules, and clean up your infrastructure when you're done. If you’ve found your Google Cloud infrastructure lacking, join Josh in this course to make sense of it by managing your infrastructure in code.",Course,2025-01-31 01:51 UTC,N/A,true,N/A,
Setting Up a Red Hat Enterprise Linux Server,"<p>When it comes to meeting pressing business needs, you need an operating system that delivers at scale. Red Hat Enterprise Linux (RHEL) is one of the top enterprise Linux distributions in the world. It’s fast, optimized to run on high-performance servers and workstations, and supports a wide variety of hardware architecture. In this course, learn how to set up a successful new RHEL installation—a key skill for all professional Linux administrators.</p><p>Instructor Imran Afzal covers the basics of installing RHEL, executing basic commands, managing user accounts, and working with the Linux filesystem. Learn how to use the graphical interface, command line, and various tools and utilities built into RHEL to configure, maintain, and troubleshoot your server. Along the way, discover advanced administration skills to configure basic security settings that help keep your new Linux network safe.</p>",Course,2024-06-21 00:31 UTC,N/A,false,N/A,
Recruiting Techniques to Reveal Transferable Skills,"When filling opening job requisitions, do you often feel constricted by searching a pool of candidates filtered by job title or by specific industries? Imagine how satisfying it would be to have access to a larger pool of talent, one that might not be on the radar of your competitors. In this course, Barbara Bruno shows you how to identify top candidates based on the skills they have that will transfer to the jobs you need to fill, regardless of their previous titles or professional experience. Barbara explains how to identify transferable skills, revise your job requisition, and how to modify your interviewing and hiring processes. By focusing on transferable skills, you can provide your company with a tremendous competitive advantage—one that will fill open requisitions faster, help candidates advance in their career, and improve engagement and retention.",Course,2024-10-01 08:02 UTC,N/A,false,N/A,
